"Baja" "edatcat" "sexo" "antig" "Nomina" "Pension" "Debito_normal" "Debito_aff" "VISA" "VISA_aff" "MCard" "Amex" "Total_activo" "Total_Plazo" "Total_Inversion" "Total_Seguros" "Total_Vista" "dif_resid" "oper_caj_Libreta" "oper_ven_Libreta" "dif_CC" "dif_Libreta" "dif_Plazo" "dif_Ahorro" "dif_Largo_plazo" "dif_Fondos_inv" "dif_Seguros" "dif_Planes_pension" "dif_Hipoteca" "dif_Prest_personales"
"Baja NO" "edatcat 46-55" "HOMBRE" 15 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 1025 0 0 0 10 "cambio resid. NO" 0 0 0 -12.62 0 0 0 0 0 0 101 0
"Baja NO" "edatcat 46-55" "HOMBRE" 19 "Nomina NO" "Pension NO" "Debito normal SI" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 850 0 "cambio resid. NO" 0 -65 0 -21.69 0 0 0 0 -0.41 0 0 0
"Baja NO" "edatcat 36-45" "HOMBRE" 15 "Nomina SI" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA SI" "VISA aff. NO" "MCard NO" "Amex NO" 11101 10000 0 0 1492 "cambio resid. SI" 351.5 0 1548.22 0 10000 0 0 0 0 0 11101 0
"Baja NO" "edatcat 36-45" "HOMBRE" 18 "Nomina SI" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA SI" "VISA aff. NO" "MCard NO" "Amex NO" 57 0 0 0 54 "cambio resid. NO" -21.75 -79.75 0 -34.19 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 36-45" "HOMBRE" 21 "Nomina SI" "Pension NO" "Debito normal NO" "Debito aff. SI" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 40 0 82 "cambio resid. NO" 346.16 132 -0.01 -225.54 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 66.." "HOMBRE" 11 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 0 "cambio resid. NO" 0 0 0 0 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 56-65" "HOMBRE" 21 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 86 "cambio resid. NO" 82.5 -3.55 0 86.54 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 18-25" "HOMBRE" 6 "Nomina SI" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA SI" "VISA aff. NO" "MCard NO" "Amex NO" 27 0 0 0 85 "cambio resid. NO" 155.5 68 0 83.85 0 0 0 0 0 0 0 27
"Baja NO" "edatcat 26-35" "HOMBRE" 18 "Nomina SI" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 183 "cambio resid. NO" -304.5 -60 0 176.59 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 66.." "HOMBRE" 19 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 653 "cambio resid. NO" 0 284.75 0 -56.82 0 0 0 0 0 0 0 0
